time,open,high,low,close,volume,label
2024-01-18,43.0,43.5,43.0,43.35,1726203,sideways
2024-01-19,43.35,43.45,43.15,43.3,2906906,sideways
2024-01-22,43.5,43.5,43.15,43.3,1694115,sideways
2024-01-23,43.4,43.4,42.9,43.1,2213543,sideways
2024-01-24,43.2,43.25,42.9,43.15,1695959,sideways
2024-01-25,43.1,43.1,42.8,42.8,1156705,weak_down
2024-01-26,42.7,43.0,42.65,42.8,1809396,sideways
2024-01-29,42.8,42.85,42.4,42.65,1818669,sideways
2024-01-30,42.65,42.8,42.5,42.7,1334887,sideways
2024-01-31,42.7,42.8,42.1,42.5,2741896,sideways
2024-02-01,42.45,42.5,42.05,42.35,2198185,sideways
2024-02-02,42.35,42.5,42.05,42.1,1983722,weak_down
2024-02-05,42.2,42.2,41.8,42.2,2695220,sideways
2024-02-06,42.25,42.35,41.9,42.3,1596415,sideways
2024-02-07,42.3,42.4,42.0,42.4,1597298,sideways
2024-02-15,42.5,42.8,42.2,42.55,1937352,sideways
2024-02-16,42.55,44.15,42.5,43.95,4997596,strong_up
2024-02-19,44.3,47.0,44.3,47.0,16653816,strong_up
2024-02-20,48.0,49.35,47.9,48.5,8987903,strong_up
2024-02-21,48.55,48.55,47.1,47.25,6658534,strong_down
2024-02-22,47.25,47.7,47.0,47.6,4027415,weak_up
2024-02-23,47.95,47.95,45.2,45.2,9887996,strong_down
2024-02-26,45.35,45.75,44.3,44.6,5096811,weak_down
2024-02-27,44.8,45.65,44.35,45.15,4374017,weak_up
2024-02-28,45.9,46.4,45.25,45.6,3374436,weak_up
2024-02-29,46.0,46.15,45.0,45.0,4021847,weak_down
2024-03-01,45.0,45.6,44.85,45.25,2986239,weak_up
2024-03-04,45.3,45.75,45.15,45.25,3742869,sideways
2024-03-05,45.2,45.5,45.0,45.3,3156457,sideways
2024-03-06,45.3,46.85,45.2,45.3,4657669,sideways
2024-03-07,45.6,45.85,45.35,45.6,2469235,weak_up
2024-03-08,46.0,46.0,44.8,44.8,3902115,weak_down
2024-03-11,44.9,45.25,44.35,44.35,3457455,weak_down
2024-03-12,44.35,44.6,44.05,44.15,2840004,sideways
2024-03-13,44.25,45.0,44.1,45.0,2241005,weak_up
2024-03-14,45.2,46.85,45.0,45.95,6026937,strong_up
2024-03-15,45.9,46.0,44.4,44.4,4816578,strong_down
2024-03-18,44.85,46.2,43.9,46.1,7739070,strong_up
2024-03-19,46.2,47.3,45.6,47.0,7834465,weak_up
2024-03-20,46.8,47.0,45.8,46.5,4699233,weak_down
2024-03-21,46.5,46.85,45.9,46.5,3529613,sideways
2024-03-22,46.5,46.7,46.05,46.6,5202615,sideways
2024-03-25,46.6,47.4,46.15,46.85,4742980,weak_up
2024-03-26,47.0,47.2,46.6,47.05,3482260,sideways
2024-03-27,47.05,47.3,46.7,47.05,4206598,sideways
2024-03-28,47.05,47.95,46.9,47.6,4643059,weak_up
2024-03-29,47.85,47.9,47.3,47.65,3527781,sideways
2024-04-01,47.65,48.1,47.35,47.85,4455197,sideways
2024-04-02,47.0,47.9,46.5,47.8,4821769,sideways
2024-04-03,47.5,47.85,47.2,47.75,4263220,sideways
2024-04-04,47.25,47.95,47.25,47.85,4125125,sideways
2024-04-05,47.45,47.95,47.3,47.8,3385682,sideways
2024-04-08,48.0,48.0,47.35,47.7,2951317,sideways
2024-04-09,47.6,47.7,47.0,47.7,3504936,sideways
2024-04-10,47.7,48.65,47.65,48.5,5167251,weak_up
2024-04-11,48.25,48.55,47.75,48.3,3401529,sideways
2024-04-12,48.35,48.7,48.15,48.45,3011703,sideways
2024-04-15,48.0,48.2,46.0,47.0,5603162,strong_down
2024-04-16,47.0,47.0,44.65,46.4,4798093,weak_down
2024-04-17,46.5,46.5,44.5,45.0,3014738,strong_down
