time,open,high,low,close,volume,label
2024-01-18,68.43,68.8,68.43,68.52,413905,sideways
2024-01-19,68.7,69.8,68.61,69.8,1005255,weak_up
2024-01-22,69.98,69.98,69.34,69.43,483613,weak_down
2024-01-23,69.52,69.8,69.16,69.25,763584,sideways
2024-01-24,69.25,69.52,68.89,68.98,480111,sideways
2024-01-25,68.98,69.25,68.61,68.61,548469,weak_down
2024-01-26,69.16,69.61,68.43,68.43,729607,sideways
2024-01-29,68.52,69.8,68.52,69.71,925756,weak_up
2024-01-30,69.25,69.71,69.25,69.52,505114,sideways
2024-01-31,69.61,69.61,68.61,68.61,596405,weak_down
2024-02-01,68.7,68.89,68.52,68.7,515096,sideways
2024-02-02,69.07,69.07,68.43,68.43,675701,sideways
2024-02-05,68.43,68.98,68.34,68.43,639823,sideways
2024-02-06,68.7,69.07,68.61,68.89,797157,weak_up
2024-02-07,68.89,68.98,68.7,68.89,474821,sideways
2024-02-15,68.98,69.16,68.89,68.89,550505,sideways
2024-02-16,68.89,70.07,68.89,69.71,1014786,weak_up
2024-02-19,70.16,72.34,70.07,72.16,2377258,strong_up
2024-02-20,72.34,72.53,71.16,71.53,1008894,weak_down
2024-02-21,71.53,71.53,70.53,70.71,1113168,weak_down
2024-02-22,70.98,71.62,70.53,70.89,1038459,sideways
2024-02-23,71.07,71.25,69.52,69.52,1956755,weak_down
2024-02-26,69.61,69.89,68.98,69.34,1095850,sideways
2024-02-27,69.61,70.8,69.34,70.62,1155596,weak_up
2024-02-28,70.98,72.07,70.71,70.98,1572323,weak_up
2024-02-29,71.44,71.44,70.25,70.43,1256967,weak_down
2024-03-01,70.8,70.8,70.34,70.62,991978,sideways
2024-03-04,70.8,71.44,70.71,70.8,1139213,sideways
2024-03-05,70.98,72.07,70.8,71.89,2071718,weak_up
2024-03-06,72.25,74.26,72.25,72.89,2291595,weak_up
2024-03-07,72.98,73.44,72.44,73.16,1249300,sideways
2024-03-08,73.71,74.26,72.34,72.34,2107122,weak_down
2024-03-11,72.34,72.34,70.8,70.8,1479764,strong_down
2024-03-12,70.8,71.44,70.71,70.89,1175867,sideways
2024-03-13,71.34,72.07,70.98,71.89,1231885,weak_up
2024-03-14,72.53,74.07,72.25,73.71,3839884,strong_up
2024-03-15,73.98,75.44,73.44,74.89,2401677,weak_up
2024-03-18,74.89,75.44,72.71,72.98,2496172,strong_down
2024-03-19,73.71,73.71,72.53,72.53,951753,weak_down
2024-03-20,72.8,73.89,72.44,73.71,1463589,weak_up
2024-03-21,74.53,74.53,73.26,73.71,939783,sideways
2024-03-22,73.71,74.17,73.16,73.26,1236323,weak_down
2024-03-25,73.26,74.07,72.89,73.16,973961,sideways
2024-03-26,73.26,73.62,72.8,73.44,597363,sideways
2024-03-27,73.89,74.35,72.89,73.07,848150,weak_down
2024-03-28,73.16,73.44,72.71,73.07,775755,sideways
2024-03-29,73.35,73.89,72.98,72.98,617449,sideways
2024-04-01,72.98,73.44,72.62,73.35,749279,weak_up
2024-04-02,73.16,75.17,72.71,75.08,1743848,strong_up
2024-04-03,75.08,75.89,74.44,74.44,1763920,weak_down
2024-04-04,74.62,74.98,73.8,74.17,753029,sideways
2024-04-05,73.71,75.71,73.16,73.62,1386347,weak_down
2024-04-08,73.71,73.71,72.62,72.62,676601,weak_down
2024-04-09,72.8,73.26,72.34,72.71,624419,sideways
2024-04-10,72.71,73.26,72.07,72.07,638713,weak_down
2024-04-11,71.8,72.16,71.53,71.71,646286,sideways
2024-04-12,71.89,72.62,71.71,72.53,360618,weak_up
2024-04-15,72.71,73.35,67.52,69.16,1097958,strong_down
2024-04-16,69.34,69.98,68.25,69.16,1117067,sideways
2024-04-17,69.34,69.61,68.34,68.34,651625,weak_down
2024-04-19,68.34,69.34,67.98,68.25,885443,sideways
2024-04-22,68.43,68.8,68.16,68.25,820723,sideways
2024-04-23,68.7,68.7,67.34,67.52,476240,weak_down
2024-04-24,68.25,68.25,67.61,67.89,853125,weak_up
2024-04-25,67.89,68.16,67.34,67.34,789526,weak_down
2024-04-26,67.25,67.52,66.89,66.89,775211,weak_down
2024-05-02,66.43,67.61,66.43,67.25,692637,weak_up
2024-05-03,67.43,67.89,67.25,67.52,515373,sideways
2024-05-06,67.8,68.43,67.8,68.07,891544,weak_up
2024-05-07,68.61,69.43,67.98,69.43,1497374,weak_up
2024-05-08,69.52,70.62,68.43,70.43,1384473,weak_up
2024-05-09,70.53,70.53,69.25,69.25,773816,weak_down
2024-05-10,69.43,69.89,68.16,68.7,652537,weak_down
2024-05-13,69.07,69.25,68.25,68.43,631673,sideways
2024-05-14,68.7,69.07,68.16,68.43,786204,sideways
2024-05-15,68.43,68.98,68.16,68.7,883985,sideways
2024-05-16,69.16,69.61,69.07,69.07,1117717,weak_up
2024-05-17,69.34,69.34,68.7,68.89,966114,sideways
2024-05-20,69.25,69.89,69.16,69.16,1111690,sideways
2024-05-21,69.34,70.62,69.16,69.8,1699128,weak_up
2024-05-22,70.34,70.34,69.61,69.71,833355,sideways
2024-05-23,69.71,72.71,69.52,72.71,3992143,strong_up
2024-05-24,73.26,74.17,70.8,71.89,2575031,weak_down
2024-05-27,71.89,73.98,71.07,73.71,2135887,strong_up
2024-05-28,74.62,74.98,73.71,74.53,2234999,weak_up
