time,open,high,low,close,volume,Up,HighVol,BreakMA5
2024-01-18,60.8,61.0,60.2,60.94,1424696,1,0,1
2024-01-19,60.87,62.21,60.47,61.94,1477733,1,0,1
2024-01-22,62.54,62.54,61.54,61.54,1048242,0,0,1
2024-01-23,61.61,61.81,60.47,61.2,1259446,0,0,0
2024-01-24,61.27,61.54,60.8,60.94,746187,0,0,0
2024-01-25,60.94,61.27,60.67,60.87,505031,0,0,0
2024-01-26,61.27,61.54,61.14,61.54,953670,1,0,1
2024-01-29,61.41,61.54,60.8,61.0,732044,0,0,0
2024-01-30,61.0,61.0,60.27,60.87,889895,0,0,0
2024-01-31,60.6,60.6,59.2,59.2,947351,0,0,0
2024-02-01,58.86,60.33,58.86,60.07,598963,1,0,0
2024-02-02,59.6,60.54,59.6,60.4,734186,1,0,1
2024-02-05,60.33,60.6,59.8,60.2,1950335,0,0,1
2024-02-06,60.4,60.6,59.6,59.87,1353403,0,0,0
2024-02-07,60.2,60.74,59.73,60.2,1372449,1,0,1
2024-02-15,60.2,60.67,59.6,60.13,1047830,0,0,0
2024-02-16,60.13,60.33,59.87,59.93,735346,0,0,0
2024-02-19,60.13,60.54,59.73,60.33,1046679,1,0,1
2024-02-20,60.27,61.14,59.8,61.07,1405753,1,0,1
2024-02-21,61.34,61.34,60.54,61.0,1369259,0,0,1
2024-02-22,60.6,60.87,59.87,59.87,1224789,0,0,0
2024-02-23,59.87,61.14,59.47,59.47,1802815,0,0,0
2024-02-26,59.47,60.2,59.47,59.87,722488,1,0,0
2024-02-27,59.93,61.0,59.6,60.94,1608348,1,0,1
2024-02-28,60.87,65.15,60.47,65.15,4227766,1,1,1
2024-02-29,65.89,67.22,65.08,65.08,1902870,0,1,1
2024-03-01,65.69,65.69,63.48,65.08,2383117,0,1,1
2024-03-04,65.55,65.55,63.95,64.21,1643680,0,0,1
2024-03-05,64.62,64.62,63.68,63.88,1366903,0,0,0
2024-03-06,63.88,64.75,63.61,63.95,2072535,1,0,0
2024-03-07,64.15,65.15,63.88,64.08,2364334,1,0,0
2024-03-08,64.15,64.55,63.61,63.61,2231150,0,0,0
2024-03-11,63.61,64.21,62.94,62.94,1842420,0,0,0
2024-03-12,62.94,63.48,62.88,63.14,1108496,1,0,0
2024-03-13,63.48,64.55,63.08,64.21,3126592,1,0,1
2024-03-14,64.21,64.28,63.28,63.55,2322431,0,0,1
2024-03-15,63.55,63.55,62.81,62.88,2304560,0,0,0
2024-03-18,63.08,63.21,61.87,62.21,1843874,0,0,0
2024-03-19,61.87,62.54,61.87,61.87,870431,0,0,0
2024-03-20,61.87,62.94,61.87,62.34,899448,1,0,0
2024-03-21,62.88,63.88,62.88,63.68,1454765,1,0,1
2024-03-22,63.68,64.75,63.68,64.48,1846861,1,0,1
2024-03-25,63.55,64.82,62.94,64.01,1370504,0,0,1
2024-03-26,64.21,64.62,64.08,64.42,736873,1,0,1
2024-03-27,64.35,64.35,63.95,64.08,1047647,0,0,0
2024-03-28,64.35,64.48,63.95,64.01,1233566,0,0,0
2024-03-29,64.15,64.15,63.48,63.48,801942,0,0,0
2024-04-01,63.48,64.21,63.34,63.68,1222710,1,0,0
2024-04-02,63.61,63.68,62.81,63.21,970357,0,0,0
2024-04-03,63.14,63.41,62.74,62.74,1323149,0,0,0
2024-04-04,63.48,64.21,63.14,64.21,2024326,1,0,1
2024-04-05,63.41,63.95,63.01,63.48,780020,0,0,1
2024-04-08,63.48,63.75,63.01,63.48,865357,0,0,1
2024-04-09,63.55,63.81,63.01,63.08,688518,0,0,0
2024-04-10,63.08,63.28,62.94,63.21,738740,1,0,0
2024-04-11,62.88,63.28,62.54,62.88,778946,0,0,0
2024-04-12,63.21,63.88,62.74,63.28,846008,1,0,1
2024-04-15,63.28,64.55,61.54,61.54,1902194,0,1,0
2024-04-16,62.74,62.74,60.54,60.87,1860102,0,1,0
2024-04-17,61.0,61.61,59.87,60.54,1454446,0,0,0
2024-04-19,60.2,60.8,60.0,60.54,1326423,0,0,0
2024-04-22,60.54,61.14,60.33,60.6,999830,1,0,0
2024-04-23,60.6,61.0,59.67,60.27,1565162,0,0,0
2024-04-24,60.87,60.94,60.27,60.6,1926287,1,0,1
2024-04-25,60.6,62.14,60.54,60.87,1236861,1,0,1
2024-04-26,61.34,62.41,61.0,61.0,1699786,1,0,1
2024-05-02,61.61,61.87,60.94,61.47,933709,1,0,1
2024-05-03,61.81,62.48,61.41,61.87,1472206,1,0,1
2024-05-06,62.14,62.41,62.01,62.21,1148815,1,0,1
2024-05-07,62.48,62.94,62.14,62.14,1155689,0,0,1
2024-05-08,62.01,62.34,61.61,62.21,1247171,1,0,1
2024-05-09,62.14,62.48,61.74,61.87,607990,0,0,0
2024-05-10,62.01,62.01,61.34,61.54,824888,0,0,0
2024-05-13,61.61,61.81,60.54,60.87,1234518,0,0,0
2024-05-14,60.94,61.27,60.54,60.6,819950,0,0,0
2024-05-15,60.87,61.07,60.74,60.87,884744,1,0,0
2024-05-16,61.54,62.01,61.2,61.94,1715536,1,0,1
2024-05-17,61.94,61.94,61.34,61.41,1086438,0,0,1
2024-05-20,61.74,62.21,61.41,61.47,1045431,1,0,1
2024-05-21,61.47,61.54,60.67,60.94,1488654,0,0,0
2024-05-22,61.2,61.34,60.67,60.67,1349994,0,0,0
2024-05-23,60.67,61.2,60.54,60.87,1318403,1,0,0
2024-05-24,60.87,60.87,60.2,60.33,2243441,0,0,0
2024-05-27,60.47,60.6,60.0,60.33,1060054,0,0,0
2024-05-28,60.07,60.67,60.07,60.67,1351470,1,0,1
2024-05-29,60.74,60.87,60.07,60.07,1188182,0,0,0
2024-05-30,59.87,60.0,59.2,59.26,2358180,0,0,0
2024-05-31,59.33,59.53,58.33,58.33,3927010,0,0,0
2024-06-03,58.86,59.73,58.86,59.0,2111127,1,0,0
2024-06-04,59.47,59.67,59.06,59.33,1818442,1,0,1
2024-06-05,59.33,59.87,59.26,59.4,1886226,1,0,1
2024-06-06,59.47,60.0,59.4,59.53,1702865,1,0,1
2024-06-07,59.6,60.0,59.2,59.2,1131101,0,0,0
2024-06-10,59.47,59.67,58.8,58.86,2643949,0,0,0
2024-06-11,59.06,59.13,58.26,58.33,2256534,0,0,0
2024-06-12,58.46,59.67,58.19,59.33,2251490,1,0,1
2024-06-13,59.47,59.6,59.13,59.13,1603414,0,0,1
2024-06-14,59.2,59.6,58.53,58.53,2484887,0,0,0
2024-06-17,58.6,58.73,58.26,58.26,2295281,0,0,0
2024-06-18,58.53,59.2,58.26,58.26,1372946,0,0,0
2024-06-19,58.39,58.53,57.86,57.93,2176749,0,0,0
2024-06-20,57.93,57.93,57.26,57.53,2654038,0,0,0
2024-06-21,57.59,57.99,57.19,57.53,1809985,0,0,0
2024-06-24,57.53,58.46,57.19,57.19,2153682,0,0,0
2024-06-25,57.32,57.99,57.19,57.19,1567779,0,0,0
2024-06-26,57.46,57.73,56.99,56.99,1709970,0,0,0
2024-06-27,56.99,57.53,56.99,56.99,1425080,0,0,0
2024-06-28,57.53,57.53,56.86,56.99,1114085,0,0,0
2024-07-01,57.39,57.66,56.99,57.59,1180816,1,0,1
2024-07-02,57.99,59.4,57.66,59.0,2428337,1,0,1
2024-07-03,58.86,59.33,58.73,59.2,2252635,1,0,1
2024-07-04,59.26,60.0,58.86,58.86,3062719,0,0,1
2024-07-05,58.93,59.67,58.86,58.86,1849175,0,0,1
2024-07-08,58.86,59.33,58.33,58.33,1145562,0,0,0
2024-07-09,58.53,59.13,57.99,58.93,1551172,1,0,1
2024-07-10,59.06,59.67,58.86,59.26,1725458,1,0,1
2024-07-11,59.26,59.47,58.93,58.93,1446841,0,0,1
2024-07-12,59.0,59.26,58.6,58.6,1374637,0,0,0
2024-07-15,58.6,59.06,58.53,58.53,1174084,0,0,0
2024-07-16,58.6,59.26,58.6,58.8,1535446,1,0,0
2024-07-17,59.4,60.2,58.53,58.86,3365241,1,0,1
2024-07-18,59.06,59.4,58.8,58.86,1653687,0,0,1
2024-07-19,58.86,59.4,58.53,58.53,1325123,0,0,0
2024-07-22,58.53,59.06,58.39,58.66,1463116,1,0,0
2024-07-23,58.73,59.06,58.53,58.53,1412799,0,0,0
2024-07-24,58.46,58.93,58.46,58.53,1477891,0,0,0
2024-07-25,58.6,58.66,58.33,58.39,882334,0,0,0
2024-07-26,58.39,58.66,58.33,58.39,904427,0,0,0
2024-07-29,58.6,58.73,58.39,58.39,454233,0,0,0
2024-07-30,58.39,59.06,58.39,58.53,978889,1,0,1
2024-07-31,58.53,59.67,58.53,59.67,1865641,1,0,1
2024-08-01,59.73,61.14,59.67,60.67,4807705,1,0,1
2024-08-02,60.47,60.47,59.33,59.33,1512887,0,0,1
2024-08-05,59.2,59.2,58.13,58.13,3063084,0,0,0
2024-08-06,58.13,58.66,57.99,58.39,1654296,1,0,0
2024-08-07,58.46,58.66,58.19,58.66,714053,1,0,0
2024-08-08,58.66,58.66,58.33,58.39,962297,0,0,0
2024-08-09,58.46,59.06,58.46,58.66,1137871,1,0,1
2024-08-12,59.13,59.13,58.39,58.73,1061597,1,0,1
2024-08-13,58.6,59.87,58.6,59.87,1593947,1,0,1
2024-08-14,59.73,59.8,58.73,58.86,1494847,0,0,0
2024-08-15,58.86,59.4,58.6,58.6,922035,0,0,0
2024-08-16,58.86,59.47,58.86,58.93,1371799,1,0,0
2024-08-19,59.4,59.73,59.06,59.4,1656591,1,0,1
2024-08-20,59.47,60.74,59.47,60.74,3387268,1,0,1
2024-08-21,60.74,62.21,60.47,62.07,2751625,1,0,1
2024-08-22,62.14,62.34,61.61,61.81,1416616,0,0,1
2024-08-23,61.87,62.07,60.54,61.81,1078085,0,0,1
2024-08-26,61.61,61.94,61.27,61.54,1569224,0,0,0
2024-08-27,61.54,61.61,60.8,61.2,902760,0,0,0
2024-08-28,61.34,61.47,60.94,60.94,1032939,0,0,0
2024-08-29,60.87,61.81,60.87,61.2,1497431,1,0,0
2024-08-30,61.2,61.74,61.2,61.34,1671053,1,0,1
