time,open,high,low,close,volume
2024-01-02,83.11,83.11,82.08,82.25,1717109
2024-01-03,81.99,82.76,81.82,82.59,1439581
2024-01-04,82.59,84.39,82.51,83.36,2978466
2024-01-05,83.45,83.62,82.76,83.53,1140908
2024-01-08,83.53,84.31,83.28,83.45,1446808
2024-01-09,83.45,83.45,82.85,82.85,1213774
2024-01-10,82.93,83.11,81.05,81.22,3309732
2024-01-11,81.22,81.82,81.22,81.48,1373914
2024-01-12,81.3,81.99,80.7,81.22,2602405
2024-01-15,81.48,82.25,81.39,81.82,1315058
2024-01-16,81.22,82.08,81.22,82.08,811904
2024-01-17,81.99,82.33,81.48,82.08,1416305
2024-01-18,82.08,82.33,81.65,81.99,1139263
2024-01-19,82.33,83.11,82.08,82.59,1495663
2024-01-22,83.02,83.02,82.16,82.68,1110387
2024-01-23,82.42,82.68,81.82,81.99,1482899
2024-01-24,82.16,82.16,81.39,81.48,1725114
2024-01-25,81.56,82.08,81.3,81.56,847088
2024-01-26,81.9,82.51,81.73,82.25,927816
2024-01-29,82.25,82.42,81.73,82.25,1062382
2024-01-30,82.25,82.25,81.82,81.99,950876
2024-01-31,81.99,82.33,81.9,82.08,1383416
2024-02-01,82.25,85.68,82.08,85.68,7803177
2024-02-02,85.94,87.65,85.85,87.48,2885879
2024-02-05,87.48,89.28,87.39,88.77,2701349
2024-02-06,88.85,90.05,88.25,89.28,1890491
2024-02-07,89.8,90.05,89.11,89.97,2130668
2024-02-15,90.22,90.48,89.02,89.19,2254547
2024-02-16,89.19,90.14,89.02,90.14,2070089
2024-02-19,90.48,91.77,90.05,90.05,2037643
2024-02-20,90.22,90.22,89.19,89.45,1848111
2024-02-21,89.19,91.68,88.77,90.82,3141692
2024-02-22,90.82,90.91,89.71,89.71,1722092
2024-02-23,90.48,91.51,88.59,89.11,4108378
2024-02-26,89.11,92.63,88.77,92.63,4472548
2024-02-27,93.05,93.91,92.11,92.54,2807162
2024-02-28,92.63,93.05,91.17,93.05,3466729
2024-02-29,92.8,93.83,92.37,93.48,2829302
2024-03-01,93.65,95.54,93.57,95.03,4028406
2024-03-04,95.2,95.88,95.03,95.54,3092985
2024-03-05,95.54,95.54,94.25,94.94,3390992
2024-03-06,94.34,94.68,92.97,93.57,3710122
2024-03-07,93.57,97.69,92.8,95.46,4044840
2024-03-08,95.46,96.57,93.91,94.34,3122548
2024-03-11,94.34,97.34,94.34,94.34,3389872
2024-03-12,94.34,97.34,94.34,95.97,2912964
2024-03-13,96.74,100.34,96.06,100.34,5125138
2024-03-14,101.63,101.63,99.23,100.34,3472473
2024-03-15,100.17,100.17,98.2,99.49,3846741
2024-03-18,99.31,99.31,95.28,96.91,5898676
2024-03-19,96.91,96.91,95.28,96.06,3324749
2024-03-20,96.31,98.63,95.28,98.2,3483551
2024-03-21,98.8,99.66,98.29,99.66,3762372
2024-03-22,99.74,99.74,98.2,98.54,2420313
2024-03-25,97.86,98.71,97.6,97.77,2799669
2024-03-26,97.77,99.06,97.43,98.63,1696761
2024-03-27,98.37,98.89,97.86,98.8,1323812
2024-03-28,99.4,100.69,98.89,100.43,2808951
2024-03-29,99.83,100.52,99.49,99.92,1346605
2024-04-01,99.49,100.86,98.8,100.17,1980689
2024-04-02,98.97,100.34,98.97,100.34,2289100
2024-04-03,99.57,100.34,98.71,98.71,2555654
2024-04-04,98.63,99.31,97.77,97.77,2369065
2024-04-05,97.0,98.37,96.57,97.51,2764447
2024-04-08,97.51,97.51,96.57,96.57,1957677
2024-04-09,96.57,97.08,96.48,96.91,1437679
2024-04-10,97.34,99.14,97.17,97.6,1795600
2024-04-11,97.34,98.97,97.17,98.54,1553032
2024-04-12,99.4,99.4,98.03,99.06,1371708
2024-04-15,99.06,99.14,95.63,95.71,3709209
2024-04-16,96.06,97.08,95.63,96.91,3651849
2024-04-17,97.0,97.0,95.71,95.88,1949454
2024-04-19,94.77,95.37,93.48,93.48,5373515
2024-04-22,94.34,95.54,93.4,94.6,2403688
2024-04-23,95.11,97.17,94.25,96.31,4041971
2024-04-24,97.43,103.0,97.08,103.0,10179208
2024-04-25,105.06,109.78,104.55,105.66,5718864
2024-04-26,105.49,107.55,104.8,105.66,3402188
2024-05-02,106.18,110.64,105.92,109.18,3477702
2024-05-03,109.86,110.12,107.72,107.98,3199400
2024-05-06,108.49,109.44,106.78,109.44,2710850
2024-05-07,109.78,112.87,109.09,112.61,3130425
2024-05-08,111.58,112.35,110.89,112.35,3024432
2024-05-09,112.01,113.89,111.49,111.75,2208946
2024-05-10,112.61,113.38,110.81,112.35,3797696
2024-05-13,112.61,112.78,110.46,111.24,1857811
2024-05-14,111.49,112.95,111.15,111.92,2309312
2024-05-15,112.78,115.35,112.61,115.01,3659473
2024-05-16,116.3,117.75,115.1,116.12,3128143
2024-05-17,116.12,116.64,114.67,115.35,2314616
2024-05-20,115.95,116.72,114.07,114.07,2020789
2024-05-21,114.92,116.64,114.5,116.64,3478265
2024-05-22,118.27,119.81,116.72,118.35,4522916
2024-05-23,117.93,118.18,115.78,117.93,3630410
2024-05-24,118.35,118.35,112.01,113.12,13398023
2024-05-27,114.07,114.5,112.01,113.89,5172903
2024-05-28,114.92,117.5,114.15,117.5,4632228
2024-05-29,117.58,118.53,115.61,116.38,5844515
2024-05-30,114.75,115.78,113.12,115.78,7273584
2024-05-31,115.78,117.33,114.75,115.44,2639516
2024-06-03,115.78,118.01,115.52,117.41,7782256
2024-06-04,119.21,119.47,118.18,119.3,7019713
2024-06-05,120.07,124.27,119.81,120.16,6336780
2024-06-06,120.33,121.53,119.04,119.73,5222139
2024-06-07,120.93,121.79,120.5,121.79,3762372
2024-06-10,123.07,124.36,122.64,123.5,3785656
2024-06-11,123.76,125.64,122.73,125.64,6340276
2024-06-12,127.02,131.78,126.92,131.09,11246768
2024-06-13,132.78,132.88,129.1,129.1,8167546
2024-06-14,129.2,131.69,128.11,130.1,6425220
2024-06-17,130.1,130.49,127.61,127.91,4890848
2024-06-18,127.91,128.81,127.12,127.12,6694763
2024-06-19,127.12,131.88,125.73,130.59,9684926
2024-06-20,132.08,134.76,130.89,132.38,10482529
2024-06-21,132.98,135.16,132.38,135.16,7663338
2024-06-24,134.07,134.57,131.09,131.19,13202385
2024-06-25,130.1,130.2,127.71,129.1,13723703
2024-06-26,130.1,130.89,128.51,130.89,7158131
2024-06-27,130.39,133.17,129.9,131.88,6409612
2024-06-28,131.88,131.88,129.5,129.6,6641381
2024-07-01,129.5,129.5,127.61,127.71,6386361
2024-07-02,127.71,131.19,126.62,127.12,6735345
2024-07-03,129.6,131.88,129.2,130.1,7642345
2024-07-04,131.19,134.86,131.19,134.86,8129152
2024-07-05,135.16,138.74,135.16,137.74,7807749
2024-07-08,137.54,138.64,136.55,138.64,5876745
2024-07-09,138.14,138.34,135.06,136.55,9689262
2024-07-10,135.06,136.05,133.08,133.08,6309470
2024-07-11,133.17,134.47,131.59,132.08,6857179
2024-07-12,131.29,135.06,131.29,132.88,3562395
2024-07-15,132.58,133.87,131.39,131.78,3074934
2024-07-16,132.68,133.57,131.39,133.08,4007693
2024-07-17,133.08,133.17,129.0,130.99,6980219
2024-07-18,130.49,130.49,126.92,127.02,10828773
2024-07-19,127.71,128.41,125.13,125.13,6581002
2024-07-22,125.13,125.13,122.35,123.24,6242427
2024-07-23,124.04,126.62,123.94,124.63,5323805
2024-07-24,124.63,125.73,123.14,125.13,4160841
2024-07-25,123.34,124.63,123.24,124.14,2569074
2024-07-26,125.03,127.12,123.54,127.12,3959362
2024-07-29,129.1,129.7,128.11,128.11,4867859
2024-07-30,128.11,128.61,126.12,127.12,2383126
