time,open,high,low,close,volume
2024-01-02,28.0,28.15,27.75,27.75,14815625
2024-01-03,27.75,28.5,27.6,28.5,19993388
2024-01-04,28.6,29.55,28.5,28.6,31418651
2024-01-05,29.0,29.45,28.85,29.3,31294814
2024-01-08,29.6,29.65,29.0,29.2,15857047
2024-01-09,29.2,29.5,29.1,29.2,16762949
2024-01-10,29.1,29.8,29.1,29.45,25105891
2024-01-11,29.7,29.95,29.2,29.5,24453815
2024-01-12,29.3,30.15,29.1,29.9,41149942
2024-01-15,30.1,30.25,29.7,29.8,13059866
2024-01-16,29.75,29.9,29.6,29.9,13165088
2024-01-17,29.9,30.05,29.7,29.7,15241706
2024-01-18,29.75,30.25,29.65,29.8,14264464
2024-01-19,30.0,30.3,29.95,30.3,19386002
2024-01-22,30.5,30.6,30.15,30.25,13402881
2024-01-23,30.35,30.7,30.25,30.5,17928786
2024-01-24,30.45,31.25,30.4,30.75,24683004
2024-01-25,31.0,31.0,30.3,30.5,17448413
2024-01-26,30.7,30.7,30.2,30.3,15141920
2024-01-29,30.3,30.65,30.3,30.35,8936603
2024-01-30,30.35,30.7,30.3,30.7,11434467
2024-01-31,30.75,30.9,29.8,29.9,34440710
2024-02-01,29.9,30.15,29.7,29.8,10676211
2024-02-02,29.95,30.15,29.75,29.9,10082220
2024-02-05,30.0,30.85,29.85,30.6,20318799
2024-02-06,30.8,31.1,30.7,30.8,13440045
2024-02-07,30.75,31.2,30.75,31.1,12203955
2024-02-15,31.2,31.7,31.0,31.25,17191502
2024-02-16,31.3,31.4,30.75,30.8,20797470
2024-02-19,30.95,30.95,30.45,30.7,15783572
2024-02-20,30.7,31.05,30.55,30.7,16161281
2024-02-21,31.0,32.0,30.85,31.5,44469935
2024-02-22,31.4,31.5,31.0,31.05,15528581
2024-02-23,31.15,31.55,30.65,30.65,33555215
2024-02-26,30.65,30.75,30.15,30.5,24766318
2024-02-27,30.6,30.85,30.35,30.75,15453918
2024-02-28,30.85,31.5,30.75,31.4,28488223
2024-02-29,31.6,31.8,31.1,31.55,23717370
2024-03-01,31.75,32.2,31.7,31.95,27194729
2024-03-04,32.1,32.2,31.65,31.75,17160970
2024-03-05,31.75,31.95,31.55,31.9,12354778
2024-03-06,31.8,32.15,31.35,31.55,18420990
2024-03-07,31.55,31.6,31.15,31.3,17425324
2024-03-08,31.35,31.5,30.6,30.65,34889636
2024-03-11,30.6,30.7,30.1,30.2,20140766
2024-03-12,30.1,30.55,30.1,30.25,13197597
2024-03-13,30.3,30.85,30.15,30.85,16467696
2024-03-14,30.9,30.95,30.4,30.45,15815024
2024-03-15,30.45,30.75,30.2,30.5,17496203
2024-03-18,30.5,30.7,29.7,30.25,26188462
2024-03-19,30.3,30.55,29.9,30.4,13161522
2024-03-20,30.4,31.25,30.15,31.15,28149376
2024-03-21,31.25,31.5,31.1,31.5,15679993
2024-03-22,31.65,32.4,31.55,31.65,32810815
2024-03-25,31.6,31.7,30.8,30.85,25050727
2024-03-26,30.8,31.0,30.75,31.0,19271784
2024-03-27,31.0,31.2,30.65,30.9,15099637
2024-03-28,31.2,32.0,30.8,32.0,32001386
2024-03-29,32.25,32.6,31.6,31.6,34580461
2024-04-01,31.5,31.7,31.05,31.4,24134887
2024-04-02,30.5,30.95,29.6,30.2,105105504
2024-04-03,30.5,30.8,30.1,30.1,26966528
2024-04-04,30.1,30.2,29.65,29.7,30279141
2024-04-05,29.5,29.85,29.15,29.6,25462352
2024-04-08,29.3,29.45,28.95,29.0,26858560
2024-04-09,29.0,29.25,28.7,29.15,17954743
2024-04-10,29.3,29.45,29.1,29.1,14934420
2024-04-11,28.9,29.1,28.75,28.85,10465198
2024-04-12,29.1,29.4,28.9,29.1,15447924
2024-04-15,29.0,29.4,27.5,27.5,24343377
2024-04-16,27.65,27.8,27.2,27.3,22656873
2024-04-17,27.6,27.6,26.8,26.8,12965614
2024-04-19,26.4,28.0,26.15,26.8,23056912
2024-04-22,27.4,28.15,27.1,27.65,13425620
2024-04-23,27.55,28.15,27.55,27.8,18402711
2024-04-24,27.9,28.6,27.8,28.6,13994297
2024-04-25,28.6,28.65,28.2,28.45,9381505
2024-04-26,28.25,28.95,28.1,28.2,11934454
2024-05-02,28.35,28.35,27.5,27.6,10056448
2024-05-03,27.8,28.05,27.5,27.55,8853601
2024-05-06,27.95,28.15,27.65,28.1,8812082
2024-05-07,28.15,28.35,28.1,28.3,8562772
2024-05-08,28.3,28.35,27.85,27.95,9181334
2024-05-09,28.0,28.15,27.8,27.8,7553720
2024-05-10,27.9,28.0,27.6,27.6,6904745
2024-05-13,27.7,27.7,27.2,27.25,7864955
2024-05-14,27.3,27.55,27.2,27.25,7430271
2024-05-15,27.35,27.9,27.3,27.8,9802818
2024-05-16,28.1,28.65,28.1,28.4,16794136
2024-05-17,28.5,28.55,28.3,28.5,7140434
2024-05-20,28.75,28.75,28.2,28.3,10166307
2024-05-21,28.3,28.45,27.85,28.3,9964133
2024-05-22,28.3,28.4,27.95,28.0,7855561
2024-05-23,27.9,28.55,27.7,28.55,10712583
2024-05-24,28.45,29.25,28.3,28.7,28348342
2024-05-27,28.8,28.95,28.35,28.7,6565399
2024-05-28,28.8,29.0,28.6,28.85,9014443
2024-05-29,28.9,28.9,28.25,28.25,10811613
2024-05-30,28.0,28.25,27.6,27.85,16004079
2024-05-31,28.05,28.2,27.8,27.85,5568948
2024-06-03,28.1,29.75,28.1,29.75,28588385
2024-06-04,30.5,30.6,29.85,29.95,20236239
2024-06-05,30.0,30.4,29.6,29.6,15298255
2024-06-06,29.95,31.1,29.65,30.7,31386562
2024-06-07,30.7,31.1,30.7,30.75,12986624
2024-06-10,31.2,31.7,31.05,31.1,14946060
2024-06-11,31.2,31.35,30.7,31.2,14067901
2024-06-12,31.25,31.35,30.9,31.35,10810785
2024-06-13,31.5,31.9,31.25,31.65,19847039
2024-06-14,31.65,31.9,30.55,30.55,15868667
